ident;type;name;iso_country;iso_region;municipality;gps_code;iata_code;local_code;longitude;latitude
KCLE;large_airport;Cleveland Hopkins International Airport;US;US-OH;Cleveland;KCLE;CLE;CLE;-81.8498001099; 41.4117012024
KCLK;small_airport;Clinton Regional Airport;US;US-OK;Clinton;KCLK;CLK;CLK;-98.93270111; 35.53829956
KCLM;medium_airport;William R Fairchild International Airport;US;US-WA;Port Angeles;KCLM;CLM;CLM;-123.5; 48.120201110839844
KCLS;small_airport;Chehalis Centralia Airport;US;US-WA;Chehalis;KCLS;CLS;CLS;-122.983001709; 46.676998138399995
KCLT;large_airport;Charlotte Douglas International Airport;US;US-NC;Charlotte;KCLT;CLT;CLT;-80.94309997558594; 35.2140007019043
KCNH;small_airport;Claremont Municipal Airport;US;US-NH;Claremont;KCNH;CNH;CNH;-72.36869812009999; 43.3703994751
KCOS;medium_airport;City of Colorado Springs Municipal Airport;US;US-CO;Colorado Springs;KCOS;COS;COS;-104.700996; 38.805801
KCRP;large_airport;Corpus Christi International Airport;US;US-TX;Corpus Christi;KCRP;CRP;CRP;-97.5011978149414; 27.77039909362793
KCTB;medium_airport;Cut Bank International Airport;US;US-MT;Cut Bank;KCTB;CTB;CTB;-112.375999451; 48.6083984375
KCXO;medium_airport;Conroe-North Houston Regional Airport;US;US-TX;Houston;KCXO;CXO;CXO;-95.414497; 30.351801
KCXY;small_airport;Capital City Airport;US;US-PA;Harrisburg;KCXY;HAR;CXY;-76.85150146480001; 40.2170982361
KDAA;medium_airport;Davison Army Air Field;US;US-VA;Fort Belvoir;KDAA;DAA;DAA;-77.1809997559; 38.715000152600005
KDAB;large_airport;Daytona Beach International Airport;US;US-FL;Daytona Beach;KDAB;DAB;DAB;-81.058098; 29.179899
KDAL;large_airport;Dallas Love Field;US;US-TX;Dallas;KDAL;DAL;DAL;-96.851799; 32.847099
KDAY;large_airport;James M Cox Dayton International Airport;US;US-OH;Dayton;KDAY;DAY;DAY;-84.21939849853516; 39.902400970458984
KDEC;medium_airport;Decatur Airport;US;US-IL;Decatur;KDEC;DEC;DEC;-88.8656997680664; 39.834598541259766
KDEN;large_airport;Denver International Airport;US;US-CO;Denver;KDEN;DEN;DEN;-104.672996521; 39.861698150635
KDET;medium_airport;Coleman A. Young Municipal Airport;US;US-MI;Detroit;KDET;DET;DET;-83.00990295; 42.40919876
KDNS;small_airport;Denison Municipal Airport;US;US-IA;Denison;KDNS;DNS;DNS;-95.38069916; 41.9864006
KDOV;large_airport;Dover Air Force Base;US;US-DE;Dover;KDOV;DOV;DOV;-75.46600342; 39.12950134
KDPA;medium_airport;Dupage Airport;US;US-IL;Chicago/West Chicago;KDPA;DPA;DPA;-88.24859619; 41.90779877
KDRO;small_airport;Durango La Plata County Airport;US;US-CO;Durango;KDRO;DRO;DRO;-107.753997803; 37.1515007019
KDSM;large_airport;Des Moines International Airport;US;US-IA;Des Moines;KDSM;DSM;DSM;-93.66310119628906; 41.534000396728516
KDVL;small_airport;Devils Lake Regional Airport;US;US-ND;Devils Lake;KDVL;DVL;DVL;-98.90879822; 48.11420059
KE-6112;small_airport;Angama Airport;KE;KE-700;Maasai Mara;HKOM;ANA;;34.955513; -1.27156
KE24;small_airport;Whiteriver Airport;US;US-AZ;Whiteriver;E24;WTR;E24;-109.9869995; 33.8125
KEGE;medium_airport;Eagle County Regional Airport;US;US-CO;Eagle;KEGE;EGE;EGE;-106.9179993; 39.64260101
KELM;medium_airport;Elmira Corning Regional Airport;US;US-NY;Elmira/Corning;KELM;ELM;ELM;-76.8916015625; 42.1599006652832
KELP;medium_airport;El Paso International Airport;US;US-TX;El Paso;KELP;ELP;ELP;-106.3779984; 31.80719948
KELY;medium_airport;Ely Airport Yelland Field;US;US-NV;Ely;KELY;ELY;ELY;-114.8420029; 39.29970169
KERI;large_airport;Erie International Tom Ridge Field;US;US-PA;Erie;KERI;ERI;ERI;-80.1738667488; 42.0831270134
KEST;small_airport;Estherville Municipal Airport;US;US-IA;Estherville;KEST;EST;EST;-94.74639893; 43.40739822
KFAR;medium_airport;Hector International Airport;US;US-ND;Fargo;KFAR;FAR;FAR;-96.81580352783203; 46.92070007324219
KFAY;medium_airport;Fayetteville Regional Grannis Field;US;US-NC;Fayetteville;KFAY;FAY;FAY;-78.88030242919922; 34.9911994934082
KFLX;small_airport;Fallon Municipal Airport;US;US-NV;Fallon;KFLX;FLX;FLX;-118.749000549; 39.4990997314
KFMY;medium_airport;Page Field;US;US-FL;Fort Myers;KFMY;FMY;FMY;-81.86329650879999; 26.58659935
KFOK;small_airport;Francis S Gabreski Airport;US;US-NY;Westhampton Beach;KFOK;FOK;FOK;-72.6317977905; 40.8437004089
KFPR;medium_airport;St Lucie County International Airport;US;US-FL;Fort Pierce;KFPR;FPR;FPR;-80.36830139; 27.49510002
KFRG;medium_airport;Republic Airport;US;US-NY;Farmingdale;KFRG;FRG;FRG;-73.4133987427; 40.7288017273
KFRI;medium_airport;Marshall Army Air Field;US;US-KS;Fort Riley(Junction City);KFRI;FRI;FRI;-96.76450348; 39.05530167
KFTK;medium_airport;Godman Army Air Field;US;US-KY;Fort Knox;KFTK;FTK;FTK;-85.9720993042; 37.907100677500004
KFWA;large_airport;Fort Wayne International Airport;US;US-IN;Fort Wayne;KFWA;FWA;FWA;-85.19509888; 40.97850037
KGGW;medium_airport;Wokal Field Glasgow International Airport;US;US-MT;Glasgow;KGGW;GGW;GGW;-106.614998; 48.212502
KGNV;medium_airport;Gainesville Regional Airport;US;US-FL;Gainesville;KGNV;GNV;GNV;-82.2717971802; 29.6900997162
KGPI;medium_airport;Glacier Park International Airport;US;US-MT;Kalispell;KGPI;FCA;GPI;-114.25599670410156; 48.31050109863281
KGPT;large_airport;Gulfport Biloxi International Airport;US;US-MS;Gulfport;KGPT;GPT;GPT;-89.07009887695312; 30.40730094909668
KGRB;large_airport;Austin Straubel International Airport;US;US-WI;Green Bay;KGRB;GRB;GRB;-88.12960052490234; 44.48509979248047
KGRE;small_airport;Greenville Airport;US;US-IL;Greenville;KGRE;GRE;GRE;-89.37840271; 38.8362007141
KGRF;medium_airport;Gray Army Air Field;US;US-WA;Fort Lewis/Tacoma;KGRF;GRF;GRF;-122.5810013; 47.07920074
KGRR;medium_airport;Gerald R. Ford International Airport;US;US-MI;Grand Rapids;KGRR;GRR;GRR;-85.52279663; 42.88079834
KGSO;large_airport;Piedmont Triad International Airport;US;US-NC;Greensboro;KGSO;GSO;GSO;-79.93730163574219; 36.097801208496094
KGSP;large_airport;Greenville Spartanburg International Airport;US;US-SC;Greenville;KGSP;GSP;GSP;-82.2189025879; 34.8956985474
KGTF;medium_airport;Great Falls International Airport;US;US-MT;Great Falls;KGTF;GTF;GTF;-111.3710022; 47.48199844
KGTR;medium_airport;Golden Triangle Regional Airport;US;US-MS;Columbus/W Point/Starkville;KGTR;GTR;GTR;-88.5914001465; 33.450298309299995
KHIO;medium_airport;Portland Hillsboro Airport;US;US-OR;Portland;KHIO;HIO;HIO;-122.949997; 45.540401
KHLG;medium_airport;Wheeling Ohio County Airport;US;US-WV;Wheeling;KHLG;HLG;HLG;-80.6463012695; 40.1749992371
KHOB;medium_airport;Lea County Regional Airport;US;US-NM;Hobbs;KHOB;HOB;HOB;-103.2170029; 32.6875
KHON;medium_airport;Huron Regional Airport;US;US-SD;Huron;KHON;HON;HON;-98.22850036621094; 44.38520050048828
KHOP;medium_airport;Campbell AAF (Fort Campbell) Air Field;US;US-KY;Fort Campbell/Hopkinsville;KHOP;HOP;HOP;-87.49620056150002; 36.668598175
KHOU;large_airport;William P Hobby Airport;US;US-TX;Houston;KHOU;HOU;HOU;-95.27890015; 29.64539909
KHPN;medium_airport;Westchester County Airport;US;US-NY;White Plains;KHPN;HPN;HPN;-73.70760345458984; 41.06700134277344
KHRL;medium_airport;Valley International Airport;US;US-TX;Harlingen;KHRL;HRL;HRL;-97.65440368652344; 26.228500366210938
KHSB;small_airport;Harrisburg-Raleigh Airport;US;US-IL;Harrisburg;KHSB;HSB;HSB;-88.5503006; 37.81129837
KHSV;large_airport;Huntsville International Carl T Jones Field;US;US-AL;Huntsville;KHSV;HSV;HSV;-86.775100708008; 34.637199401855
KHUM;small_airport;Houma Terrebonne Airport;US;US-LA;Houma;KHUM;HUM;HUM;-90.6604003906; 29.5664997101
KHVR;medium_airport;Havre City County Airport;US;US-MT;Havre;KHVR;HVR;HVR;-109.762001; 48.54299927
KIAG;medium_airport;Niagara Falls International Airport;US;US-NY;Niagara Falls;KIAG;IAG;IAG;-78.94619750976562; 43.1072998046875
KICT;large_airport;Wichita Eisenhower National Airport;US;US-KS;Wichita;KICT;ICT;ICT;-97.433098; 37.649899
KIDA;medium_airport;Idaho Falls Regional Airport;US;US-ID;Idaho Falls;KIDA;IDA;IDA;-112.070999; 43.514599
KIND;large_airport;Indianapolis International Airport;US;US-IN;Indianapolis;KIND;IND;IND;-86.294403; 39.7173
KINL;medium_airport;Falls International Airport;US;US-MN;International Falls;KINL;INL;INL;-93.4030990600586; 48.566200256347656
KISP;medium_airport;Long Island Mac Arthur Airport;US;US-NY;Islip;KISP;ISP;ISP;-73.10019684; 40.79520035
KJAC;medium_airport;Jackson Hole Airport;US;US-WY;Jackson;KJAC;JAC;JAC;-110.73799896240234; 43.6072998046875
KJAN;large_airport;Jackson-Medgar Wiley Evers International Airport;US;US-MS;Jackson;KJAN;JAN;JAN;-90.0758972168; 32.3111991882
KL06;small_airport;Furnace Creek Airport;US;US-CA;Death Valley National Park;;DTH;L06;-116.880997; 36.463799
KLAN;medium_airport;Capital City Airport;US;US-MI;Lansing;KLAN;LAN;LAN;-84.58740234375; 42.77870178222656
KLAR;medium_airport;Laramie Regional Airport;US;US-WY;Laramie;KLAR;LAR;LAR;-105.67500305175781; 41.31209945678711
KLAS;large_airport;McCarran International Airport;US;US-NV;Las Vegas;KLAS;LAS;LAS;-115.1520004; 36.08010101
KLEB;medium_airport;Lebanon Municipal Airport;US;US-NH;Lebanon;KLEB;LEB;LEB;-72.30419921880001; 43.626098632799994
KLEE;medium_airport;Leesburg International Airport;US;US-FL;Leesburg;KLEE;LEE;LEE;-81.80870056; 28.82309914
KLEW;small_airport;Auburn Lewiston Municipal Airport;US;US-ME;Auburn/Lewiston;KLEW;LEW;LEW;-70.2835006714; 44.048500061
KLEX;large_airport;Blue Grass Airport;US;US-KY;Lexington;KLEX;LEX;LEX;-84.60590362548828; 38.0364990234375
KLGU;medium_airport;Logan-Cache Airport;US;US-UT;Logan;KLGU;LGU;LGU;-111.851997375; 41.7911987305
KLIT;large_airport;Bill & Hillary Clinton National Airport/Adams Field;US;US-AR;Little Rock;KLIT;LIT;LIT;-92.2242965698; 34.729400634799994
KLLJ;small_airport;Challis Airport;US;US-ID;Challis;KLLJ;CHL;LLJ;-114.218002; 44.522999
KLND;medium_airport;Hunt Field;US;US-WY;Lander;KLND;LND;LND;-108.730003357; 42.8152008057
KLOU;medium_airport;Bowman Field;US;US-KY;Louisville;KLOU;LOU;LOU;-85.6636962891; 38.2280006409
KLSE;medium_airport;La Crosse Municipal Airport;US;US-WI;La Crosse;KLSE;LSE;LSE;-91.256699; 43.879002
KLUK;medium_airport;Cincinnati Municipal Airport Lunken Field;US;US-OH;Cincinnati;KLUK;LUK;LUK;-84.41860199; 39.10329819
KLWT;medium_airport;Lewistown Municipal Airport;US;US-MT;Lewistown;KLWT;LWT;LWT;-109.46700286865234; 47.04930114746094
KMAF;medium_airport;Midland International Airport;US;US-TX;Midland;KMAF;MAF;MAF;-102.2020034790039; 31.9424991607666
KMDT;medium_airport;Harrisburg International Airport;US;US-PA;Harrisburg;KMDT;MDT;MDT;-76.7633972168; 40.1935005188
KMEM;large_airport;Memphis International Airport;US;US-TN;Memphis;KMEM;MEM;MEM;-89.97669982910156; 35.04240036010742
KMGC;small_airport;Michigan City Municipal Airport;US;US-IN;Michigan City;KMGC;MGC;MGC;-86.8211975098; 41.703300476100004
KMGM;large_airport;Montgomery Regional (Dannelly Field) Airport;US;US-AL;Montgomery;KMGM;MGM;MGM;-86.39399719; 32.30059814
KMHT;medium_airport;Manchester-Boston Regional Airport;US;US-NH;Manchester;KMHT;MHT;MHT;-71.435699; 42.932598
KMIA;large_airport;Miami International Airport;US;US-FL;Miami;KMIA;MIA;MIA;-80.29060363769531; 25.79319953918457
KMKG;small_airport;Muskegon County Airport;US;US-MI;Muskegon;KMKG;MKG;MKG;-86.23819733; 43.16949844
KMLB;medium_airport;Melbourne International Airport;US;US-FL;Melbourne;KMLB;MLB;MLB;-80.64530181884766; 28.102800369262695
KMLI;large_airport;Quad City International Airport;US;US-IL;Moline;KMLI;MLI;MLI;-90.50749969482422; 41.44850158691406
KMLU;large_airport;Monroe Regional Airport;US;US-LA;Monroe;KMLU;MLU;MLU;-92.0376968383789; 32.51089859008789
KMMU;medium_airport;Morristown Municipal Airport;US;US-NJ;Morristown;KMMU;MMU;MMU;-74.41490173339844; 40.799400329589844
KMOB;large_airport;Mobile Regional Airport;US;US-AL;Mobile;KMOB;MOB;MOB;-88.242797851562; 30.691200256348
KMRC;small_airport;Maury County Airport;US;US-TN;Columbia/Mount Pleasant;KMRC;MRC;MRC;-87.17890167239999; 35.5541000366
KMRY;medium_airport;Monterey Peninsula Airport;US;US-CA;Monterey;KMRY;MRY;MRY;-121.84300231933594; 36.58700180053711
KMSN;large_airport;Dane County Regional Truax Field;US;US-WI;Madison;KMSN;MSN;MSN;-89.3375015258789; 43.13990020751953
KMSP;large_airport;Minneapolis-St Paul International/Wold-Chamberlain Airport;US;US-MN;Minneapolis;KMSP;MSP;MSP;-93.221802; 44.882
KMTH;medium_airport;The Florida Keys Marathon Airport;US;US-FL;Marathon;KMTH;MTH;MTH;-81.051399; 24.726101
KMWH;medium_airport;Grant County International Airport;US;US-WA;Moses Lake;KMWH;MWH;MWH;-119.3199997; 47.20769882
KMYR;medium_airport;Myrtle Beach International Airport;US;US-SC;Myrtle Beach;KMYR;MYR;MYR;-78.9282989502; 33.6796989441
KNEW;medium_airport;Lakefront Airport;US;US-LA;New Orleans;KNEW;NEW;NEW;-90.028297424316; 30.042400360107
KNYL;medium_airport;Yuma MCAS/Yuma International Airport;US;US-AZ;Yuma;KNYL;YUM;NYL;-114.6060028; 32.65660095
KOAK;large_airport;Metropolitan Oakland International Airport;US;US-CA;Oakland;KOAK;OAK;OAK;-122.221001; 37.721298
KOGD;medium_airport;Ogden Hinckley Airport;US;US-UT;Ogden;KOGD;OGD;OGD;-112.0120010376; 41.195899963379
KOGS;small_airport;Ogdensburg International Airport;US;US-NY;Ogdensburg;KOGS;OGS;OGS;-75.46549987790002; 44.6819000244
KOKC;large_airport;Will Rogers World Airport;US;US-OK;Oklahoma City;KOKC;OKC;OKC;-97.60070037841797; 35.39310073852539
KOLM;medium_airport;Olympia Regional Airport;US;US-WA;Olympia;KOLM;OLM;OLM;-122.9029999; 46.9693985
KOMA;large_airport;Eppley Airfield;US;US-NE;Omaha;KOMA;OMA;OMA;-95.894096; 41.3032
KONT;large_airport;Ontario International Airport;US;US-CA;Ontario;KONT;ONT;ONT;-117.60099792480469; 34.055999755859375
KOPF;medium_airport;Opa-locka Executive Airport;US;US-FL;Miami;KOPF;OPF;OPF;-80.278397; 25.907
KORL;small_airport;Orlando Executive Airport;US;US-FL;Orlando;KORL;ORL;ORL;-81.332901; 28.5455
KOTM;medium_airport;Ottumwa Regional Airport;US;US-IA;Ottumwa;KOTM;OTM;OTM;-92.44789886; 41.10660172
KPGR;small_airport;Kirk Field;US;US-AR;Paragould;KPGR;PGR;PGR;-90.50779724; 36.06290054
KPHF;large_airport;Newport News Williamsburg International Airport;US;US-VA;Newport News;KPHF;PHF;PHF;-76.49299622; 37.13190079
KPHN;small_airport;St Clair County International Airport;US;US-MI;Port Huron;KPHN;PHN;PHN;-82.52890015; 42.9109993
KPIA;large_airport;General Wayne A. Downing Peoria International Airport;US;US-IL;Peoria;KPIA;PIA;PIA;-89.6932983398; 40.664199829100006
KPIE;medium_airport;St Petersburg Clearwater International Airport;US;US-FL;St Petersburg-Clearwater;KPIE;PIE;PIE;-82.68740082; 27.91020012
KPIR;medium_airport;Pierre Regional Airport;US;US-SD;Pierre;KPIR;PIR;PIR;-100.2860031; 44.38270187
KPIT;large_airport;Pittsburgh International Airport;US;US-PA;Pittsburgh;KPIT;PIT;PIT;-80.23290253; 40.49150085
KPLB;closed;Clinton County Airport;US;US-NY;Plattsburgh;KPLB;PLB;PLB;-73.52449798583984; 44.6875
KPOE;medium_airport;Polk Army Air Field;US;US-LA;Fort Polk;KPOE;POE;POE;-93.1917038; 31.0447998
KPRO;small_airport;Perry Municipal Airport;US;US-IA;Perry;KPRO;PRO;PRO;-94.15989685; 41.82799911
KPSC;medium_airport;Tri Cities Airport;US;US-WA;Pasco;KPSC;PSC;PSC;-119.11900329589844; 46.26470184326172
KPSM;medium_airport;Portsmouth International at Pease Airport;US;US-NH;Portsmouth;KPSM;PSM;PSM;-70.8233032227; 43.0778999329
KPSP;medium_airport;Palm Springs International Airport;US;US-CA;Palm Springs;KPSP;PSP;PSP;-116.50700378417969; 33.8297004699707
KPTK;medium_airport;Oakland County International Airport;US;US-MI;Pontiac;KPTK;PTK;PTK;-83.420097351074; 42.665500640869
KPVD;medium_airport;Theodore Francis Green State Airport;US;US-RI;Providence;KPVD;PVD;PVD;-71.42040252685547; 41.732601165771484
KRDM;medium_airport;Roberts Field;US;US-OR;Redmond;KRDM;RDM;RDM;-121.1500015; 44.2541008
KRDU;large_airport;Raleigh Durham International Airport;US;US-NC;Raleigh/Durham;KRDU;RDU;RDU;-78.7874984741211; 35.877601623535156
KRFD;large_airport;Chicago Rockford International Airport;US;US-IL;Chicago/Rockford;KRFD;RFD;RFD;-89.09719848632812; 42.19540023803711
KRIV;medium_airport;March ARB Airport;US;US-CA;Riverside;KRIV;RIV;RIV;-117.259003; 33.880699
KRME;medium_airport;Griffiss International Airport;US;US-NY;Rome;KRME;RME;RME;-75.40699768; 43.23379898
KRNO;large_airport;Reno Tahoe International Airport;US;US-NV;Reno;KRNO;RNO;RNO;-119.76799774169922; 39.49909973144531
KROC;large_airport;Greater Rochester International Airport;US;US-NY;Rochester;KROC;ROC;ROC;-77.67240142822266; 43.118900299072266
KROG;small_airport;Rogers Municipal Airport-Carter Field;US;US-AR;Rogers;KROG;ROG;ROG;-94.10690308; 36.37229919
KRST;large_airport;Rochester International Airport;US;US-MN;Rochester;KRST;RST;RST;-92.5; 43.90829849243164
KSAA;small_airport;Shively Field;US;US-WY;Saratoga;KSAA;SAA;SAA;-106.823997; 41.444901
KSAC;medium_airport;Sacramento Executive Airport;US;US-CA;Sacramento;KSAC;SAC;SAC;-121.492996216; 38.5125007629
KSAN;large_airport;San Diego International Airport;US;US-CA;San Diego;KSAN;SAN;SAN;-117.190002441; 32.7336006165
KSAR;small_airport;Sparta Community Hunter Field;US;US-IL;Sparta;KSAR;SAR;SAR;-89.6986999512; 38.1488990784
KSAV;large_airport;Savannah Hilton Head International Airport;US;US-GA;Savannah;KSAV;SAV;SAV;-81.20210266; 32.12760162
KSBN;large_airport;South Bend Regional Airport;US;US-IN;South Bend;KSBN;SBN;SBN;-86.31729888916016; 41.70869827270508
KSCH;medium_airport;Schenectady County Airport;US;US-NY;Schenectady;KSCH;SCH;SCH;-73.928901672363; 42.852500915527
KSDY;medium_airport;Sidney - Richland Regional Airport;US;US-MT;Sidney;KSDY;SDY;SDY;-104.193001; 47.706902
KSEA;large_airport;Seattle Tacoma International Airport;US;US-WA;Seattle;KSEA;SEA;SEA;-122.308998; 47.449001
KSFB;large_airport;Orlando Sanford International Airport;US;US-FL;Orlando;KSFB;SFB;SFB;-81.23750305175781; 28.777599334716797
KSGF;large_airport;Springfield Branson National Airport;US;US-MO;Springfield;KSGF;SGF;SGF;-93.38860321; 37.24570084
KSGR;medium_airport;Sugar Land Regional Airport;US;US-TX;Houston;KSGR;SGR;SGR;-95.65650177002; 29.622299194336
KSHR;medium_airport;Sheridan County Airport;US;US-WY;Sheridan;KSHR;SHR;SHR;-106.9800033569336; 44.76919937133789
KSKA;large_airport;Fairchild Air Force Base;US;US-WA;Spokane;KSKA;SKA;SKA;-117.65599823; 47.6151008606
KSLC;large_airport;Salt Lake City International Airport;US;US-UT;Salt Lake City;KSLC;SLC;SLC;-111.97799682617188; 40.78839874267578
KSLO;small_airport;Salem Leckrone Airport;US;US-IL;Salem;KSLO;SLO;SLO;-88.964202880859; 38.64289855957
KSMS;small_airport;Sumter Airport;US;US-SC;Sumter;KSMS;SUM;SMS;-80.361297607422; 33.994998931885
KSNA;large_airport;John Wayne Airport-Orange County Airport;US;US-CA;Santa Ana;KSNA;SNA;SNA;-117.8679962; 33.67570114
KSPA;small_airport;Spartanburg Downtown Memorial Airport;US;US-SC;Spartanburg;KSPA;SPA;SPA;-81.956497192383; 34.915699005127
